comment,label
Barca Koseoglu  You're welcome  All the best,0
I want more from Mike   Pls,1
Thein Zaw Oo  Search 'Mike Dane ' He has tons of videos,0
Does python program Mobile apps because I need it to my colleage project can any one answer me fast folded handsfolded hands,0
Barca Koseoglu  no not right now the current one is 3 10 i think,0
red hood  anime lol,0
This is the best tutorial for Python  Thanks a lot,1
woah 49  is almost equal my food money for a month,0
1 59 07 When I type exactly whats on the screen it says on my computer syntax error  invalid syntax  never did anything wrong though,0
ANewGalaxyFilmsTV  Syntax error means you did something wrong  Please paste the code,0
Just finished watching it all,0
Could i download both,0
can I download this on hp laptop,0
Yes sir,1
Yes alot,1
Barca Koseoglu  yes ut is still work,0
Can we have Mike refresh this in 2021,1
this was really nice,1
I dont see anyone commenting on how you're playing the guitar  upside down   What a truly incredible art,1
This feels like a hug from a friend that you really needed,1
Really good,1
Heaven  Listening her voice in my room  without lights and with earphones  every night,1
This is insane  How has no one commented on the fact that she's playing a right handed guitar left handed  Mad talent,1
Ths is my favorite song to listen to especially when I'm feeling down  You did Mac justice,1
I can listen to this angelic rendition till the end of my days,1
The feeling I get just listening to this cover is just warmth   emotional warmth,1
The absolute ease in which you're playing this song is amazing,1
something to touch your heart and fall in love   after a stressful day or week  Thank you for these wholesome and loveley tunes  3 3,1
I don t ever comment on videos  But this  This  Is the most perfect tune and adaption  Makes me happy even for a brief moment  Thank you,1
Beautiful  sultry voice and an old soul in a such a young vessel   Well done,1
So glad this is now on Spotify,1
One of my favorite songs and covers both  Love the personal touch  you put on it,1
PastaOnMyNeck  damn  sorry to hear that bro  anyway what the people here are saying is that in selfie mode the image gets flipped along the vertical axis  not the horizontal  so even if it were flipped  it wouldnt explain the way the strings are arranged at all,-1
Hey stop messing with  PastaOnMyNeck  he's right  I get his her kind of humor  I send you an ultra big hug wherever you are baby,-1
Like Jimi Hendrix,0
WhiteBread  Most people don t even know of her,-1
PastaOnMyNeck  if it would flip the strings upside down your head would be at the bottom,-1
PastaOnMyNeck  I'm sorry to hear it  you might have not given the easiest path in life but I believe in you to be the best self you can be  You matter,1
just like hendrix himself,0
Lends well to her tone,1
I think its just the video is mirror so everything is reversed,0
how would I know   D,0
why are people impressed if she is playing upside down anyways    thats just the wrong way to play and would only hold you back in guitar,-1
Jos  Luis Fern ndez  HAHAHAHAH,0
Omar Othman  wrong,-1
It was terrible,-1
I don't really like it,-1
It's fake ,-1
"It's horrible, man",-1
"I appreciate the performance, but I don't like the topic actuallly",-1
Jos  Luis Fern ndez  i dont know if u try to share or just make me wrong,-1
Jos  Luis Fern ndez  i should put maybe cuz i'm not saying im full right,-1
Shaurya Giri  Yea but Hendrix still strung his with the heavy E string on top  She's still got hers on the bottom  truly a right handed guitar being played upside down,0
lol there was a big musician that played like that ii cant remember for the life of me who it was  but yeah i noticed  i mean if thats how she taught herself to play from the beginning id  imagine it just feels like normal playing,-1
insane wooow,1
bro thats not talent its hard work,1
She is a witch,1
This brings back a lot of memories  started watching this back in '05 when I was 16  Man  season 1 4 of this show is some of the best tv I've seen,1
there s one thing i don t understand  how does ted remember so many moments in like 5 years of his life that happened like 5 years ago so vividly,0
ted and barney saying  fantasy football  at the same time then looking at each other like that is the ultimate bros got each other's backs moment,1
Lily's loud eating noises might just be the funniest moment in the whole series,1
This is amazing  the editing  the scenes   Thank you for uploading  my good sir,1
The show sucks,-1
4 38  Miracle  I actually always lose it in that scene face with tears of joyface with tears of joyface with tears of joy Also   4 45 Lily saying  hey  Woah  Ahh I don t care  rolling on the floor laughing,0
She is so sad and defenceless    Barney  Does anyone have a condom   face with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joy,-1
Lying  cheating and selling the odd woman  Yeah I doubt it's exclusive to them,-1
ah shit  here we go again,-1
I am a modern day feminist and I love Barney,1
Well maybe not some aspects but he has great character development,0
Tacolisha Taco   Not exactly what I love but compared to how I hated some of his scenes in the start  he came such a long way,-1
The best part is that the actor who plays him is NPH who is the most wholesome and elaborately elegant gay man who is married with two adorable kids and they have so much classface with tears of joy He s such a good actor,1
Mario Jane I love barney cause he s hilarious but he s not exactly the best person,0
Ginny Weasley  You're not a feminist just because you self proclaim on YouTube videos  Fuck off to Saudi Arabia and go do some real 'feminism' work,-1
face with tears of joyface with tears of joyface with tears of joy,-1
Liam Gallagher     Feminist   f m n st  noun a person who supports feminism   Lmao if you're gonna try make someone look dumb at least make sure your point actually makes fucking sense smh,-1
Liam Gallagher  watched shameless cause there's liam gallagher out there   Be nice btw,-1
so barney is everything,0
Ginny Weasley  SAMAY KI MOD IDHAR BHI AA GAYI   YEH KYA CHAL RAHA HAI,0
Sourav Sinha   lolface with tears of joy,0
Ted and Victoria full love story please check it out and subscribe to the channel  https   youtu be cLP6nqitPrA  part 4 https   youtu be  YUaMnvBh M   part 3 https   youtu be aW3S402d bc   part 2 https   youtu be mKu2iwMBi2Q  part 1,0
Lets be real here in real life a guy like that wouln't have any friends,-1
Why do I feel like this is one of those  I edited the thing so no one will know the original thing face with tears of joy,-1
Liam Gallagher  oh hi there liam gallagher,0
You mean being gay,0
being awesome  Yeah I agree,1
Liam Gallagher  face with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joy,-1
Yup but he the goat eyes,0
https   youtu be SxhxzXJdLdE How I met your mother in 1 minute,0
Highly doubt even sexist people would like someone with Barney's traits  But overall he is funny and a person with lots of issues  People can relate with his messiness  That's why he is the most popular character in HIMYM,1
Aiden Furry  Just because someone says they are  Feminist   Doesn't mean they have to go to middle east or Africa or other third world countries to prove their stand on it  Feminism can be practiced in everywhere    And if you don't like  Mordern Feminism  than be traditional actual feminist  Saying half assed words in social media will gradually give people the idea that feminism is bad,-1
Fabi  yes he carried the whole show,0
I binge watched the series 3 times and the first time I finished it I cried my heart out,1
Rashi Bajpai  i just finished the series today i feel something heavy leaving it,0
soo  I just finished a rerun today  Managed to not to binge watch all the way through  New goal for the next one  Once every week  I watch two episodes  no more  no less  Could be one hell of a journey  I've found that binge watching is actually the worst way to enjoy this show,-1
soo  hi  may i know where to watch the series  tq,0
Akila Manan  I watched on netflix,0
I binge watched it during quarantine,0
Akila Manan  telegram,0
just rewatched it and I feel and empty void that no other show can fill,-1
I know your feelings  i watch it about every 2 years,0
I am on season 4 right now I watched it form netflix and it feels so fast   I was tried  to slowcdown watching it because I can't imagine how my life without this seriesloudly crying face   But I watch 6 episode a day     HELPPP I DON'T WANT TO LOST THIS MASTERPIECE,1
Probably the same thing i felt yesterday,0
Its not that good of a show,-1
Terrible show ted and barney are the worst i really hate them,-1
Dr Visser  It's all right if you don't like it  but if that's the case  why are you on this video  face with tears of joy,0
Billy Fox  I just wannet to see what it was,0
Dr Visser  Ah  well  that's fair enough  I suppose,0
Same,0
Litterly cried in bed after I finished the show TwT,-1
Right,1
You should watch Friends,0
I finished it last week lol,0
Rewatch it bro  Gets better everytime,1
J E  I keep rewatching it,1
Freddie Mercury check mark  I've rewatched more times than I can count,1
same  i literally downloaded all the episodes and saved it to my USB so that i can watch it anytime,1
Used to love the show but only recently realised how many ideas were taken from Seinfeld,-1
Anna  and  ideas were taken from friends,0
Better than every show  FRIENDS specially,1
Yellow Flash  big time agreed,0
Yellow Flash  no and why did you like your own comment and people can chose there own favourite show you like himym I prefer Friends it's your own opinion,-1
i feel the exact same way,0
I did today and I'm so sad omg,-1
Watch Big Bang Theory  u won't regret,1
Pushkar  does it get better  I started watching but it wasn't really good in my opinion,-1
Pushkar  I watched it it's not that good Friends Cobra kai and breaking bad is better,0
Rashi Bajpai  I literally cried so much the last 3 episodes  I CANNOT,0
Sameeee,0
We want a HIMYM REUNION,0
I agree with you  some day they come on my dream grinning face with sweat,1
Which episode is when Robin says  why Ted dont marry me,0
Who came here to see if this years rewind beat it in dislikes,0
I don't feel so well,-1
"Hey, that's insane fire",1
I hate that guy,-1
I don't think the show is good ,-1
boring,-1
I am down,-1
"Hello guys, welcome to my channel",0
Divine s lyrics is extremely ambitious,1
Jonathan starts with this relief music in stream red heart,1
Divine song line 1 40  Goosebumps on my hand           devine,0
Disclaimer   This song is extremely addictive,1
No competition Jonathan fire,1
When divine enters song go 's to another level red heartface blowing a kiss,1
Divine voice hits in another waysmiling face,1
Here After Jass Manak Feat  Emiway Officially Announced beaming face with smiling eyesfolded hands light skin tone But This Masterpiece Is Still One Of The Best Work Done By Divine smiling face with heart eyesdizzy And Also Hyped For Bad Munda,0
Hey guys   Matt here  and we just opened the DNCR Online Dance Academy for dancers of all ages and skill levels   If you want to be part of an amazing community of dancers around the world and level up your dancing  join us at  http   dncr com,0
I've watched the whole video without moving a single muscle,0
if there s people struggle  do one part of the routine first  practice it slow  then practice it fast  once you perfect that  go on to the next half and do the same  then you can do the dance all together and it will look amazing  trust me  it really helps,1
Tbh when i first started learning this  i gave up in like two minutes but then i watched the 10 minute challenge he did with Nicole on this and his 'speech' and i was like if she can do it then i definitely can and i did  So proud lmaoo,1
2 30 a m  Nobody  My brain  u need to learn a 7 rings choreography  Right now,0
Can t wait to learn it and dance it in my final test for dance face screaming in fear I love it red heartred heart,1
I can t even learn a TikTok dance how am I supposed to learn thisweary face,-1
I love the weird sounds Matt makes when he counts lol  EDIT  Omg THX FOR THE LIKESgrinning face,1
Dancing always looks easy but it never is  But don t give up  It takes practice  Lots and lots of practice  Keep up the good work,1
It took me 10 minutes to learn the first step  if I do all the choreography and at that speed I will finish at 40 years old  Good work Matt,1
I always wonder that what the syltherin students would be thinking while getting dance lessons from Snape face with tears of joy,0
Omg Hermione loves how Ron is embarrassed,1
I feel mcgonagall chose him on purpose,0
Smiles  She's literally so happy  she's laughing   Woah Mione I didn't know that smirking face,1
I m 99 9999999999  sure that s EMMA s Reaction not Hermione s       If u don t know Hermione actor is Emma Watson,0
I SWEAR RONS FACE IS EVERYTHING LOL,1
Hermione knows what's coming and knows exactly what Ron's reaction wud be face with tears of joyface with tears of joyface with tears of joyface with tears of joy,1
she ships them  can we not ship children with adults  She could just be giggling cause it's funny how embarrassed Ron is  and Ron is just an awkward shy boy so of course he's embarrassed and nervous,0
The hesitant  yes   From ron is just amazing,1
Rob Lake that is a wonderful show  You and your team did a wonderful job   Thank you and Arm Forces Entertainment for sharing  this  I think that I might become an Illusionist too  Prestidigitator Samuel L  Hodges  Jr,0
Absolutely Amazing Great inspiration Well done Rob Lake,1
Simply wonderful  excellent   Congratulations to this young magician  He remembers me the magic of David Copperfield I saw many years ago  Rob has a fresh air and way to present every performance  Greetings from M xico  clapping handsclapping handsclapping handsclapping handsclapping hands,1
I absolutely love it    red heart Such a phenomenal production,1
Rob Lake you are an excellent performer Congratulations,1
Great show really enjoyed it,1
Love this so much    red heartman mage light skin tonemagic wand,1
keep the awesome uploads coming,0
Simply  excellent and congratulations   Greetings from Mexico  clapping handsclapping handsclapping handsclapping handsclapping hands,1
Amazing as always,1
Did you ENJOY watching this  Do you want to see more Amazing Auditions  Subscribe here play button http   bit ly AMAZING SUBSCRIBE,0
Great video  Wonderful talented children  Bravo,1
Wow    what wonderful they are    I really love  them    Thanks,1
But can we just take a moment to appreciate how AMAZING the 10 year old s voice is,1
People think Simon's mean for stopping people  but he has great judgement and he brings the best out of people,0
Wow very nice video thankx for sharingthumbs upthumbs upthumbs up,1
Honestly I love this talent show and Annie's performance blew me off she's more than just talented,1
That girl in the yellow dress was such a performer she s amazing,1
If acting was an art  Berlin is the Picasso,0
Fun fact  Berlin is more fearless than Tokyo,0
Berlin is like loki  live like a villan  die like a hero loudly crying face,0
Imagine being a Psychpath but still everyone's favourite,0
Imagine if he was still alive the show would be so much more better fire,1
He deserves Oscar for his role red heart,1
Loved the timings of the scene and the background music great job brother,1
If berlin was alive     He could save nairobi and tokyo loudly crying faceloudly crying face,-1
If berlin leaded and everyone followed him all of the time then both heist could be completed in a 2 hours movie  lol nothing could go wrong coz of his experience face blowing a kiss,0
Guy With No Fear fire     Absolute Artist He Played The Role To Its Finest sparkles,1
That  Here to help  guy had been waiting all week for this moment  raised handface with tears of joy,1
i m here cause i m trying to comfort myself of the most embarrassing thing i ve done  yet   in this lifetime,-1
I died a little each time that first clip replayed  I am now fully dead,-1
made my dayrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing still watching 2021orange heartrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing,1
3 33 that time when you're on the losing side of the game and you immediately switch sides,0
This is such a mood    I've done half of these things  myself  xD,1
Usain Bolt seems like a pretty cool dude,1
Subscribe if you think world peace is pretty rad   Hope you enjoy this one friends    Have a good day,0
I love watching these videos at night  Calms my anxious brain down before I go to sleep smiling face with smiling eyes,1
The kitten chillin on her back  getting the spa treatment  priceless,1
This melted my heart red heart,1
The cat in the shower was simply trying to get some private reflection time  face with tears of joy,1
Every world leader should be required to watch at least 1 hour of these adorable animal videos every day  Before long this world will finally have peace,0
That baby seal realizing someone was watching loved it every second,1
I never knew how much I needed to see a parrot petting a puppy until now,0
The  Baby  they were too busy for a Pup Cup  one always gets me laughing,1
This has to be the most cutest moment ever to grace mankind in this difficult period  A kitten and a chic sleeping together,1
This video made me weep  These animals are so cute and innocent  Thank you,1
PSA  As a barista  I will NEVER be upset about getting your baby a pup cup   heart suitpleading face,1
I love it when all the huskys come in and say hello,1
They are so adorable smiling face with hearts they melt my heart red heart,1
That time my cat kissed a mouse and left it so confused yearning for love     is beautiful   I nominate that one for a Nobel Peace award,1
This was seriously world peace worthy,0
8 57 I love how the dog turned their head at the perfect time,1
the most wholesome 16 minutes of my life,1
14 21 that puppy has a heart on his face red heart,1
0 12 that s so cute pleading face,1
3 53 got me laughing for a hot minute   MoOoOoOoOoOoOoOoOm,1
8 55 me whole time confused thinking there making a gingerbread house  literal saying    ugh looks like a ginger bread house,0
The straight tok videos in these compilations are honestly the worst part about them  everything else is great,-1
7 46 Well u can say its a tea shirt get it,0
1 35 they are playing it wrong,-1
How  how am I this early  I need answers,0
9 59 umm u need a bigger robe,0
24 41,0
Are you sure this is funny,-1
Dude can you make these vertical format,-1
im confused  what happened,-1
teddy   just watch 3 40 loudly crying face,0
These guys didn t pass the vibe check  they are the vibe check,1
anyone else wish they could hear this song for the first time again,0
This track helped me to endure the passing of my mother  and today the passing of my aunt  A big thank you to the both of you  God bless,1
To this day  I still wish I could unhear this song  just to experience hearing it for the first time once again  It pains me to know that can never happen,-1
What a incredible sound  Simply art for our ears,1
The camera man deserves a lot of credit  He caught all the magic and was almost as smooth as the musicians,1
This is a musical masterpiece  for SO many reasons  Its like being at a musical buffet  once you've gotten full  you stop eating   then you come back later on  once the hunger pains start again for a plate of  good listening,1
just heard this for the first time   Ive been making music over 20 years   This is a masterpiece   Beautiful music,1
Purely timeless  That groove is fuckn  nasty,1
Masterpiece  one song that never gets old  You guys should meet again and make more music,1
It's crazy this is 100  improvised  Man this studio session is legendary  not many can pull off a full track improvised  It's out of this world,1
imagine meeting someone who makes you feel the way this song does,0
This song is literally a checkpoint for my lsd trips  It gives me life and keeps me going  Thank you,1
Can t get enough of this song,1
Can't get any smoother than these two talented musicians    Super rhythm and not too unorganized in their instrumental arrangement   hundred pointscheck mark,1
Truly sensational  A different level of talent  vocals and improvisation  Beyond description,1
After listening to this song for a couple of years  I have to make a comment  You guys rule  You are so talented,1
The camera man does not receive enough credit for this  he was bomb  clapping hands medium dark skin tone,-1
This song also found me and what I will say it brought my spirit in line to the goodness of this universe absolutely love it   I listen to everyday now,1
his speech was so fluent like he has prepared for 22 years,0
It's insane this is his only Oscar  literally everyone knows who this man is  he's such a legendary actor,1
Even the other nominees truly doesn't care they haven't won and has a smile throughout his speech  they know how deserving this was and how great Leo is,1
I'm suprised he didn't just get up on stage and go  finally,0
This man s face is literally the reason Hollywood is affluent  His face is pure symbol for cinema and films  Oscar needed him  because he s been an Oscar recipient ever since the Titanic in our heart,1
Man should've atleast bagged atleast 4 5 in my opinion,0
His first Oscar in 6 nominations and he talks about global warming       What a guy,0
kate winslet's face during his speech  she knows leonardo deserves this SO MUCH im crying,-1
I love that guy,1
"Trust me, this was crazy",1
FINALLY wins an oscar and he talks about BIG serious topics  Leo is just the most beautiful and purest man there is,1
he deserves all the Oscars he was nominated in,1
Leonardo doesn t need an Oscar  he is an Oscar,0
He grew beyond the pretty boy type over the years  he's proven that he is worthy to be called a legendary actor,1
Everyone was genuinely happy to see him win  even the other nominees  such a heartwarming moment,1
"Haha, funny!",1
