cid,text,label,votes,heart
179,Here After Jass Manak Feat  Emiway Officially Announced beaming face with smiling eyesfolded hands light skin tone But This Masterpiece Is Still One Of The Best Work Done By Divine smiling face with heart eyesdizzy And Also Hyped For Bad Munda,0,,
180,Hey guys   Matt here  and we just opened the DNCR Online Dance Academy for dancers of all ages and skill levels   If you want to be part of an amazing community of dancers around the world and level up your dancing  join us at  http   dncr com,0,,
181,I've watched the whole video without moving a single muscle,0,,
182,if there s people struggle  do one part of the routine first  practice it slow  then practice it fast  once you perfect that  go on to the next half and do the same  then you can do the dance all together and it will look amazing  trust me  it really helps,1,,
183,Tbh when i first started learning this  i gave up in like two minutes but then i watched the 10 minute challenge he did with Nicole on this and his 'speech' and i was like if she can do it then i definitely can and i did  So proud lmaoo,1,,
184,2 30 a m  Nobody  My brain  u need to learn a 7 rings choreography  Right now,0,,
185,Can t wait to learn it and dance it in my final test for dance face screaming in fear I love it red heartred heart,1,,
186,I can t even learn a TikTok dance how am I supposed to learn thisweary face,-1,,
187,I love the weird sounds Matt makes when he counts lol  EDIT  Omg THX FOR THE LIKESgrinning face,1,,
188,Dancing always looks easy but it never is  But don t give up  It takes practice  Lots and lots of practice  Keep up the good work,1,,
189,It took me 10 minutes to learn the first step  if I do all the choreography and at that speed I will finish at 40 years old  Good work Matt,1,,
190,I always wonder that what the syltherin students would be thinking while getting dance lessons from Snape face with tears of joy,0,,
191,Omg Hermione loves how Ron is embarrassed,1,,
192,I feel mcgonagall chose him on purpose,0,,
193,Smiles  She's literally so happy  she's laughing   Woah Mione I didn't know that smirking face,1,,
194,I m 99 9999999999  sure that s EMMA s Reaction not Hermione s       If u don t know Hermione actor is Emma Watson,0,,
195,I SWEAR RONS FACE IS EVERYTHING LOL,1,,
196,Hermione knows what's coming and knows exactly what Ron's reaction wud be face with tears of joyface with tears of joyface with tears of joyface with tears of joy,1,,
197,she ships them  can we not ship children with adults  She could just be giggling cause it's funny how embarrassed Ron is  and Ron is just an awkward shy boy so of course he's embarrassed and nervous,0,,
198,The hesitant  yes   From ron is just amazing,1,,
199,Rob Lake that is a wonderful show  You and your team did a wonderful job   Thank you and Arm Forces Entertainment for sharing  this  I think that I might become an Illusionist too  Prestidigitator Samuel L  Hodges  Jr,0,,
200,Absolutely Amazing Great inspiration Well done Rob Lake,1,,
201,Simply wonderful  excellent   Congratulations to this young magician  He remembers me the magic of David Copperfield I saw many years ago  Rob has a fresh air and way to present every performance  Greetings from M xico  clapping handsclapping handsclapping handsclapping handsclapping hands,1,,
202,I absolutely love it    red heart Such a phenomenal production,1,,
203,Rob Lake you are an excellent performer Congratulations,1,,
204,Great show really enjoyed it,1,,
205,Love this so much    red heartman mage light skin tonemagic wand,1,,
206,keep the awesome uploads coming,0,,
207,Simply  excellent and congratulations   Greetings from Mexico  clapping handsclapping handsclapping handsclapping handsclapping hands,1,,
208,Amazing as always,1,,
209,Did you ENJOY watching this  Do you want to see more Amazing Auditions  Subscribe here play button http   bit ly AMAZING SUBSCRIBE,0,,
210,Great video  Wonderful talented children  Bravo,1,,
211,Wow    what wonderful they are    I really love  them    Thanks,1,,
212,But can we just take a moment to appreciate how AMAZING the 10 year old s voice is,1,,
213,People think Simon's mean for stopping people  but he has great judgement and he brings the best out of people,0,,
214,Wow very nice video thankx for sharingthumbs upthumbs upthumbs up,1,,
215,Honestly I love this talent show and Annie's performance blew me off she's more than just talented,1,,
216,That girl in the yellow dress was such a performer she s amazing,1,,
217,If acting was an art  Berlin is the Picasso,0,,
218,Fun fact  Berlin is more fearless than Tokyo,0,,
219,Berlin is like loki  live like a villan  die like a hero loudly crying face,0,,
220,Imagine being a Psychpath but still everyone's favourite,0,,
221,Imagine if he was still alive the show would be so much more better fire,1,,
222,He deserves Oscar for his role red heart,1,,
223,Loved the timings of the scene and the background music great job brother,1,,
224,If berlin was alive     He could save nairobi and tokyo loudly crying faceloudly crying face,-1,,
225,If berlin leaded and everyone followed him all of the time then both heist could be completed in a 2 hours movie  lol nothing could go wrong coz of his experience face blowing a kiss,0,,
226,Guy With No Fear fire     Absolute Artist He Played The Role To Its Finest sparkles,1,,
227,That  Here to help  guy had been waiting all week for this moment  raised handface with tears of joy,1,,
228,i m here cause i m trying to comfort myself of the most embarrassing thing i ve done  yet   in this lifetime,-1,,
229,I died a little each time that first clip replayed  I am now fully dead,-1,,
230,made my dayrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing still watching 2021orange heartrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing,1,,
231,3 33 that time when you're on the losing side of the game and you immediately switch sides,0,,
232,This is such a mood    I've done half of these things  myself  xD,1,,
233,Usain Bolt seems like a pretty cool dude,1,,
234,Subscribe if you think world peace is pretty rad   Hope you enjoy this one friends    Have a good day,0,,
235,I love watching these videos at night  Calms my anxious brain down before I go to sleep smiling face with smiling eyes,1,,
236,The kitten chillin on her back  getting the spa treatment  priceless,1,,
237,This melted my heart red heart,1,,
238,The cat in the shower was simply trying to get some private reflection time  face with tears of joy,1,,
239,Every world leader should be required to watch at least 1 hour of these adorable animal videos every day  Before long this world will finally have peace,0,,
240,That baby seal realizing someone was watching loved it every second,1,,
241,I never knew how much I needed to see a parrot petting a puppy until now,0,,
242,The  Baby  they were too busy for a Pup Cup  one always gets me laughing,1,,
243,This has to be the most cutest moment ever to grace mankind in this difficult period  A kitten and a chic sleeping together,1,,
244,This video made me weep  These animals are so cute and innocent  Thank you,1,,
245,PSA  As a barista  I will NEVER be upset about getting your baby a pup cup   heart suitpleading face,1,,
246,I love it when all the huskys come in and say hello,1,,
247,They are so adorable smiling face with hearts they melt my heart red heart,1,,
248,That time my cat kissed a mouse and left it so confused yearning for love     is beautiful   I nominate that one for a Nobel Peace award,1,,
249,This was seriously world peace worthy,0,,
250,8 57 I love how the dog turned their head at the perfect time,1,,
251,the most wholesome 16 minutes of my life,1,,
252,14 21 that puppy has a heart on his face red heart,1,,
253,0 12 that s so cute pleading face,1,,
254,3 53 got me laughing for a hot minute   MoOoOoOoOoOoOoOoOm,1,,
255,8 55 me whole time confused thinking there making a gingerbread house  literal saying    ugh looks like a ginger bread house,0,,
256,The straight tok videos in these compilations are honestly the worst part about them  everything else is great,-1,,
257,7 46 Well u can say its a tea shirt get it,0,,
258,1 35 they are playing it wrong,-1,,
259,How  how am I this early  I need answers,0,,
260,9 59 umm u need a bigger robe,0,,
261,24 41,0,,
262,Are you sure this is funny,-1,,
263,Dude can you make these vertical format,-1,,
264,im confused  what happened,-1,,
265,teddy   just watch 3 40 loudly crying face,0,,
266,These guys didn t pass the vibe check  they are the vibe check,1,,
267,anyone else wish they could hear this song for the first time again,0,,
268,This track helped me to endure the passing of my mother  and today the passing of my aunt  A big thank you to the both of you  God bless,1,,
269,To this day  I still wish I could unhear this song  just to experience hearing it for the first time once again  It pains me to know that can never happen,-1,,
270,What a incredible sound  Simply art for our ears,1,,
271,The camera man deserves a lot of credit  He caught all the magic and was almost as smooth as the musicians,1,,
272,This is a musical masterpiece  for SO many reasons  Its like being at a musical buffet  once you've gotten full  you stop eating   then you come back later on  once the hunger pains start again for a plate of  good listening,1,,
273,just heard this for the first time   Ive been making music over 20 years   This is a masterpiece   Beautiful music,1,,
274,Purely timeless  That groove is fuckn  nasty,1,,
275,Masterpiece  one song that never gets old  You guys should meet again and make more music,1,,
276,It's crazy this is 100  improvised  Man this studio session is legendary  not many can pull off a full track improvised  It's out of this world,1,,
277,imagine meeting someone who makes you feel the way this song does,0,,
278,This song is literally a checkpoint for my lsd trips  It gives me life and keeps me going  Thank you,1,,
279,Can t get enough of this song,1,,
280,Can't get any smoother than these two talented musicians    Super rhythm and not too unorganized in their instrumental arrangement   hundred pointscheck mark,1,,
281,Truly sensational  A different level of talent  vocals and improvisation  Beyond description,1,,
282,After listening to this song for a couple of years  I have to make a comment  You guys rule  You are so talented,1,,
283,The camera man does not receive enough credit for this  he was bomb  clapping hands medium dark skin tone,-1,,
284,This song also found me and what I will say it brought my spirit in line to the goodness of this universe absolutely love it   I listen to everyday now,1,,
285,his speech was so fluent like he has prepared for 22 years,0,,
286,It's insane this is his only Oscar  literally everyone knows who this man is  he's such a legendary actor,1,,
287,Even the other nominees truly doesn't care they haven't won and has a smile throughout his speech  they know how deserving this was and how great Leo is,1,,
288,I'm suprised he didn't just get up on stage and go  finally,0,,
289,This man s face is literally the reason Hollywood is affluent  His face is pure symbol for cinema and films  Oscar needed him  because he s been an Oscar recipient ever since the Titanic in our heart,1,,
290,Man should've atleast bagged atleast 4 5 in my opinion,0,,
291,His first Oscar in 6 nominations and he talks about global warming       What a guy,0,,
292,kate winslet's face during his speech  she knows leonardo deserves this SO MUCH im crying,-1,,
293,I love that guy,1,,
294,"Trust me, this was crazy",1,,
295,FINALLY wins an oscar and he talks about BIG serious topics  Leo is just the most beautiful and purest man there is,1,,
296,he deserves all the Oscars he was nominated in,1,,
297,Leonardo doesn t need an Oscar  he is an Oscar,0,,
298,He grew beyond the pretty boy type over the years  he's proven that he is worthy to be called a legendary actor,1,,
299,Everyone was genuinely happy to see him win  even the other nominees  such a heartwarming moment,1,,
300,"Haha, funny!",1,,
